Рудь Ірина Анатоліївна,1063
Семчук О.С.,1062
Єзеров А.А.,1062
Мацький Є.М.,1062
Макаренко Я.М.,1062
Кучерук І. Г.,1062
Зубець Л.П.,1061
Мясківська І. М.,1060
Сівакова В.В.,1060
Вергопуло А. К.,1060
Мєзєнцев Євген Ігорович,1060
Аркатова К. В.,1059
Ступак С. В.,1059
Петрюченко М. І.,1058
Літвінов С.В.,1058
Літвіненко Н. А.,1058
Біла Л.М.,1058
Григоренко І. В.,1056
Сулім В.В.,1055
Величко О. В.,1055
Коваленко І. П.,1055
Тичкова О. Ю.,1054
О.В. Гіглава,1054
Цибенко І. В.,1053
Майстренко Наталія Миколаївна,1052
Желєзна С.П.,1052
Бондарєв Едуард Миколайович,1051
Вознюк Р. В.,1051
Шкурдова Л.М.,1050
Цховребова М. Г,1048
О.М. Кунець,1047
Білоконь Олена Валеріївна,1047
Баруліна Т. Є.,1046
Татарінова О. А.,1045
Васильєв Олег Юрійович,1042
Захарчук-Борисенко Наталія Віталіївна,1042
Клікунова А. С.,1042
Макаренко Т.В.,1041
Шевцова Л. М.,1040
Іваненко О. В.,1039
І.С. Шевяков,1039
Алексєєв А.П.,1038
Кузнєцов Віктор Олексійович,1037
Лобарчук О. О.,1037
Колодій Н.А.,1037
Ткаченко І. Ю.,1036
О.О. Кукоба,1036
Зеленов А.С.,1036
Стрільчук Віктор Андрійович,1035
Антонюк О. А.,1035
Швець В. М.,1035
Мілєва Ірина Вікторівна,1034
О.А. Прилипчук,1033
Ковтун С.А.,1033
Клочко І. В.,1033
Попрас В. О.,1033
Должко С. Р.,1032
Смірнова Н. А.,1032
Огренич І. В.,1031
Бусик О. Л.,1030
Дем'янченко С. М.,1030
Сапальова Т.В.,1030
Пономаренко Є.Ю.,1030
Привалов А.І.,1028
Дерех Надія Володимирівна,1028
К.І. Клочко,1027
Смірнова Л.Г.,1027
Присакар О. Я.,1027
Тиханський О. Б.,1025
Н.М. Басова,1025
Ушак І.Г.,1025
Заїкін А. П.,1024
Сащенко І. С.,1023
Шелєхова Г. В.,1022
Малярчук І.А.,1022
Хитров Б. В.,1022
Куцкір Ю. Ю.,1021
Пастернак І. А.,1021
Дідиченко М.А.,1021
Блажівська О.Є.,1020
Кісь П. В.,1020
Данилова М.В.,1020
Яровенко Н. О.,1019
Онищенко Е. А.,1018
Курова О. І.,1018
Череповський Є.В.,1017
Борщов І. О.,1017
Циганенко А.І.,1016
Лавренчук Ольга Володимирівна,1016
Гончар М. С.,1016
Шевченко І. М.,1016
Овдієнко В. В.,1015
Шишов Олег Олексійович,1014
Троцька А. І.,1013
Марфіна Н. В.,1011
Ковальова Ю. В.,1011
Дацюк О. І.,1010
Подус Г. С.,1010
Головань О.В.,1010
Герцов О. М.,1010
Сторчак В. Ю.,1009
Комплєктова Т. О.,1009
Коротких Андрій Юрійович,1009
Хандурін В. В.,1009
Крапівницька Н. Л.,1009
Пукшин Л.Г.,1008
Прудник Сергій Володимирович,1008
Грінчук О. П.,1007
Пасько М.В.,1007
Васильченко І.П.,1007
Мальцев Д. О.,1006
Пащенко Т. П.,1006
Радченко Л. А.,1005
Погрібний Сергій Олексійович,1004
Материнко М. О.,1003
Кирилюк Н. А.,1002
Потапчук В.О.,1002
Подорець О. Б.,1002
Ларіонова Н. М.,1002
Попревич В. М.,1001
Усик Григорій Іванович,1001
Бруховський Є. Б.,1001
Антоненко Наталія Олександрівна,1001
Михальська Ю.Б.,1000
Корбут В. В.,1000
Коваль М.П.,1000
Чекменьов Г.А.,999
Романченко Євген Юрійович,998
Смілянець Е. С.,998
Гудим Любомир Ярославович,998
Джабурія О.В.,997
Гумега О.В.,997
Бондар Марина Володимирівна,997
Гриців М.І.,996
Комлева О. С.,996
Шкамерда К. С.,995
Пригара Л.І.,995
Пронін С. Г.,995
Арапіна Н. Є.,995
В.О. Павлічек,994
Радченко В. Є.,994
Морозов С.М.,994
Кирилюк Т.Ю.,993
Лісовська О. В.,993
Баранюк Андрій Зіновійович,993
Кисельов В. К.,993
Соловйова Анастасія Євгенівна,992
Крамаренко І. А.,991
Ковалевська Л. М.,990
Кравчук Г.А.,990
Фролова Л. Д.,988
Князєв В. Б.,988
Матковська Зоряна Мирославівна,988
Карягіна Н. О.,988
Черніцька І. М.,988
Коваленко П. Л.,987
Зінченко О. М.,987
Мозговая Н.А.,987
Яризько В.О.,986
Бабаш Г.П.,984
Катющенко В.П.,983
Нос Степан Петрович,982
Марич Є. В.,982
Науменко С. М.,982
Осіпов Ю.В.,981
Подіновська Г. В.,981
Красота Олександр Іванович,980
Владимирська І. М.,979
Мицик С. А.,979
Фазикош О. В.,979
Панова Т. Л.,978
С.М. Гелета,977
Янцовська Т. М.,976
М.М. Шаповал,976
Попко Ярослав Степанович,976
Пашкіна С.А.,974
Букіна Лілія Євгенівна,974
Т.М. Кармазина,974
Босий В.П.,974
Городнича В. С.,972
Ченцова С. М.,970
Левченко А. М.,970
Кідиба Т. О.,969
Горбалінський Володимир Володимирович,969
Бородавкіна С.В.,969
Басова Н. В.,969
Залімський І. Г.,969
Прилуцький В. О.,969
Тищенко А.І.,969
Нешик О.С.,969
Миргород В. С.,968
Сімоненко Валентина Миколаївна,968
Коробенко Г.П.,967
Пахолюк А. М.,967
Артемчук В. М.,966
Черняк Юлія Валеріївна,965
Зінченко А. С.,965
Абдукадирова К.Е.,965
Перекупка І. Г.,964
Косач І. А.,964
Колодяжна І. М.,964
Чернюк Алла Юріївна,964
Поліщук Т. В.,964
Іванова О. М.,963
Літвіна Наталія Миколаївна,963
Сільченко В. Є.,963
Мірінович Уляна Анатоліївна,962
Іванко Л.А.,962
Онишкевич Тарас Володимирович,962
Павлова Ж. П.,961
Курило А. В.,961
Логвінов А. О.,960
Дмитришена Руслана Миколаївна,960
